START TIME: Wed Dec 17 02:44:18 CET 2025
[sbatch-master] running on nid007642
[sbatch-master] SLURM_NODELIST: nid007642
[sbatch-master] SLURM_NNODES: 1
[sbatch-master] SLURM_NODEID: 0
[sbatch-master] define some env vars that will be passed to the compute nodes
[sbatch-master] execute command on compute nodes
slurmstepd: error: couldn't chdir to `/workspace': No such file or directory: going to /tmp instead
slurmstepd: error: couldn't chdir to `/workspace': No such file or directory: going to /tmp instead
[srun] rank=0 host=nid007642 noderank=0 localrank=0
2025-12-17 02:44:33,906 - root - INFO - Experiment args: Namespace(dataset='/capstor/store/cscs/ethz/large-sc-2/datasets/train_data.parquet', tokenizer_name_or_path='unsloth/Mistral-Nemo-Base-2407-bnb-4bit', sequence_length=2048, batch_size=1, fused_optimizer=False, learning_rate=5e-05, lr_warmup_steps=100, training_steps=1000, logging_frequency=5, checkpoint_frequency=100, checkpoint_save_path=None, checkpoint_load_path=None, profile=False, profile_step_start=10, profile_step_end=12, grad_max_norm=1, model_dtype='bf16', compile=False, tp_size=1)
Setting device to local rank: 0
[Rank 0] World Size: 1, DP: 0 / 1, TP: 0 / 1
2025-12-17 02:44:35,091 - root - INFO - Setting up DataLoaders...
2025-12-17 02:44:38,243 - root - INFO - Setting up Model...
2025-12-17 02:44:40,250 - root - INFO - Starting training!
2025-12-17 02:44:41,628 - root - INFO - Step: 1 | Loss (Avg): 11.97 | Reserved Memory 78.34 GB  | Tokens per second: 1487.02 | Training tokens per second (%): 8.84 | MFU (%): 7.27 | TFLOP/s/GPU: 71.85
2025-12-17 02:44:43,601 - root - INFO - Step: 5 | Loss (Avg): 11.95 | Reserved Memory 85.81 GB  | Tokens per second: 4152.77 | Training tokens per second (%): 42.44 | MFU (%): 20.29 | TFLOP/s/GPU: 200.66
2025-12-17 02:44:45,796 - root - INFO - Step: 10 | Loss (Avg): 11.86 | Reserved Memory 86.81 GB  | Tokens per second: 4667.38 | Training tokens per second (%): 35.84 | MFU (%): 22.80 | TFLOP/s/GPU: 225.53
2025-12-17 02:44:48,048 - root - INFO - Step: 15 | Loss (Avg): 11.74 | Reserved Memory 86.81 GB  | Tokens per second: 4547.46 | Training tokens per second (%): 57.98 | MFU (%): 22.22 | TFLOP/s/GPU: 219.73
2025-12-17 02:44:50,235 - root - INFO - Step: 20 | Loss (Avg): 11.22 | Reserved Memory 86.81 GB  | Tokens per second: 4683.58 | Training tokens per second (%): 28.01 | MFU (%): 22.88 | TFLOP/s/GPU: 226.31
2025-12-17 02:44:52,407 - root - INFO - Step: 25 | Loss (Avg): 10.59 | Reserved Memory 86.81 GB  | Tokens per second: 4713.81 | Training tokens per second (%): 25.95 | MFU (%): 23.03 | TFLOP/s/GPU: 227.77
2025-12-17 02:44:54,593 - root - INFO - Step: 30 | Loss (Avg): 10.33 | Reserved Memory 86.81 GB  | Tokens per second: 4685.71 | Training tokens per second (%): 26.96 | MFU (%): 22.89 | TFLOP/s/GPU: 226.41
2025-12-17 02:44:56,793 - root - INFO - Step: 35 | Loss (Avg): 10.30 | Reserved Memory 86.81 GB  | Tokens per second: 4655.51 | Training tokens per second (%): 36.55 | MFU (%): 22.75 | TFLOP/s/GPU: 224.95
2025-12-17 02:44:59,004 - root - INFO - Step: 40 | Loss (Avg): 9.40 | Reserved Memory 86.81 GB  | Tokens per second: 4631.67 | Training tokens per second (%): 49.45 | MFU (%): 22.63 | TFLOP/s/GPU: 223.80
2025-12-17 02:45:01,212 - root - INFO - Step: 45 | Loss (Avg): 9.45 | Reserved Memory 86.81 GB  | Tokens per second: 4638.43 | Training tokens per second (%): 46.69 | MFU (%): 22.66 | TFLOP/s/GPU: 224.13
2025-12-17 02:45:03,396 - root - INFO - Step: 50 | Loss (Avg): 9.16 | Reserved Memory 86.81 GB  | Tokens per second: 4689.99 | Training tokens per second (%): 33.32 | MFU (%): 22.91 | TFLOP/s/GPU: 226.62
